ДАННЫЕ С БИРЖИ MOEX
27.01892,USDTRY
3.575,TRYRUB
96.545,USDRUB_TOM

yapikredi https://www.yapikredi.com.tr/yatirimci-kosesi/doviz-bilgileri
Валюта,Покупка,Продажа,18.09.2023 21:53
AUD,16.702121,18.129651,18.09.2023 21:43
DKK,3.751641,4.056998,18.09.2023 21:43
SEK,2.347101,2.549746,18.09.2023 21:43
CHF,29.355253,31.668381,18.09.2023 21:43
JPY,17.730614,19.26008,18.09.2023 21:43
CAD,19.104191,20.676757,18.09.2023 21:43
NOK,2.425441,2.634591,18.09.2023 21:43
SAR,6.893135,7.456047,18.09.2023 21:43
PLN,6.307879,6.776216,18.09.2023 21:43
RUB,0.25821,0.296689,18.09.2023 21:43
XAU,0,0,18.09.2023 21:43
